,エリア,物価係数,1singleBP,1,2ダブル,2ツイン,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
北海道,北海道,1.011,7600,7680,9180,10680,13180,15680,18180,20680,23180,25680,28180,30680,33180,35680,38180,40680,43180,45680,48180,50680,53180,55680
青森県,東北,0.983,6800,6680,8180,9680,12180,14680,17180,19680,22180,24680,27180,29680,32180,34680,37180,39680,42180,44680,47180,49680,52180,54680
岩手県,東北,0.991,6800,6740,8240,9740,12240,14740,17240,19740,22240,24740,27240,29740,32240,34740,37240,39740,42240,44740,47240,49740,52240,54740
宮城県,東北,0.995,6800,6770,8270,9770,12270,14770,17270,19770,22270,24770,27270,29770,32270,34770,37270,39770,42270,44770,47270,49770,52270,54770
秋田県,東北,0.987,6800,6710,8210,9710,12210,14710,17210,19710,22210,24710,27210,29710,32210,34710,37210,39710,42210,44710,47210,49710,52210,54710
山形県,東北,1.007,6800,6850,8350,9850,12350,14850,17350,19850,22350,24850,27350,29850,32350,34850,37350,39850,42350,44850,47350,49850,52350,54850
福島県,東北,0.993,6800,6750,8250,9750,12250,14750,17250,19750,22250,24750,27250,29750,32250,34750,37250,39750,42250,44750,47250,49750,52250,54750
茨城県,関東,0.982,8600,8450,9950,11450,13950,16450,18950,21450,23950,26450,28950,31450,33950,36450,38950,41450,43950,46450,48950,51450,53950,56450
栃木県,関東,0.983,8600,8450,9950,11450,13950,16450,18950,21450,23950,26450,28950,31450,33950,36450,38950,41450,43950,46450,48950,51450,53950,56450
群馬県,関東,0.962,8600,8270,9770,11270,13770,16270,18770,21270,23770,26270,28770,31270,33770,36270,38770,41270,43770,46270,48770,51270,53770,56270
埼玉県,関東,1.005,8600,8640,10140,11640,14140,16640,19140,21640,24140,26640,29140,31640,34140,36640,39140,41640,44140,46640,49140,51640,54140,56640
千葉県,関東,1.015,8600,8730,10230,11730,14230,16730,19230,21730,24230,26730,29230,31730,34230,36730,39230,41730,44230,46730,49230,51730,54230,56730
東京都,東京,1.047,9600,10050,11550,13050,15550,18050,20550,23050,25550,28050,30550,33050,35550,38050,40550,43050,45550,48050,50550,53050,55550,58050
神奈川県,関東,1.031,8600,8870,10370,11870,14370,16870,19370,21870,24370,26870,29370,31870,34370,36870,39370,41870,44370,46870,49370,51870,54370,56870
新潟県,中部,0.984,7000,6890,8390,9890,12390,14890,17390,19890,22390,24890,27390,29890,32390,34890,37390,39890,42390,44890,47390,49890,52390,54890
富山県,中部,0.986,7000,6900,8400,9900,12400,14900,17400,19900,22400,24900,27400,29900,32400,34900,37400,39900,42400,44900,47400,49900,52400,54900
石川県,中部,0.994,7000,6960,8460,9960,12460,14960,17460,19960,22460,24960,27460,29960,32460,34960,37460,39960,42460,44960,47460,49960,52460,54960
福井県,中部,0.994,7000,6960,8460,9960,12460,14960,17460,19960,22460,24960,27460,29960,32460,34960,37460,39960,42460,44960,47460,49960,52460,54960
山梨県,中部,0.981,7000,6870,8370,9870,12370,14870,17370,19870,22370,24870,27370,29870,32370,34870,37370,39870,42370,44870,47370,49870,52370,54870
