広さ,ベッド数,清掃基準単価
A,1,2500
A,2ダブル,2800
A,2ツイン,3200
A,3,3500
A,4,4000
B,1,4500
B,2ダブル,4800
B,2ツイン,5300
B,3,5500
B,4,6000
B,5,6500
C,2,6500
C,3,7000
C,4,7500
C,5,8000
C,6,8500
C,7,9000
D,3,9500
D,4,10000
D,5,10500
D,6,11000
D,7,11500
D,8,12000
D,9,12500
D,10,13000
D,11,13500
D,12,14000
D,13,14500
D,14,15000
D,15,15500
D,16,16000
D,17,16500
D,18,17000
D,19,17500
D,20,18000
D,21,18500
D,22,19000
D,23,19500
D,24,20000
D,25,20500
D,26,21000
D,27,21500
D,28,22000
D,29,22500
