,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
日数,31,28,31,30,31,30,31,31,30,31,30,31
北海道,16,15,15,12,16,18,23,25,20,19,15,19
青森県,12,12,14,18,19,18,20,25,20,23,18,15
岩手県,15,13,16,16,18,18,18,24,18,22,19,16
宮城県,15,15,18,15,18,17,19,23,17,19,19,17
秋田県,12,12,14,15,19,19,19,27,20,23,18,15
山形県,16,16,17,14,17,19,19,24,18,21,17,15
福島県,15,15,16,16,17,17,19,24,18,21,18,17
茨城県,15,14,18,18,18,16,20,23,16,18,18,18
栃木県,13,13,16,16,19,16,20,25,19,18,21,17
群馬県,17,15,18,14,17,14,19,26,18,20,18,18
埼玉県,16,15,20,18,17,16,18,20,17,19,18,19
千葉県,16,14,19,17,17,17,19,22,16,19,18,19
東京都,16,15,19,18,18,17,18,18,17,19,19,20
神奈川県,17,14,21,17,20,18,17,19,16,18,18,19
新潟県,17,17,19,17,16,14,19,26,18,19,16,15
富山県,12,13,18,22,19,14,17,23,19,23,19,15
石川県,15,15,20,19,18,15,16,22,16,20,21,16
福井県,11,12,18,17,18,15,20,28,17,20,21,17
山梨県,11,10,17,16,18,15,24,28,18,19,18,16
長野県,18,17,16,13,17,13,19,29,19,20,16,16
岐阜県,14,13,18,17,18,14,20,25,18,22,16,18
静岡県,16,15,20,16,17,14,20,25,16,17,18,19
愛知県,15,14,19,18,17,16,19,22,17,18,18,19
三重県,15,15,19,17,19,15,19,23,17,18,19,20
滋賀県,13,12,19,18,19,15,18,25,16,19,20,18
京都府,13,12,19,20,20,17,17,18,17,21,20,19
大阪府,16,14,18,17,18,17,19,19,17,20,19,19
兵庫県,14,14,21,16,17,15,18,23,17,19,20,19
奈良県,12,11,18,18,22,15,17,21,17,22,22,17
和歌山県,13,13,20,16,19,15,20,23,16,20,20,17
鳥取県,12,12,18,16,20,15,18,25,18,21,21,18
島根県,13,13,19,18,21,17,19,22,17,20,20,15
岡山県,14,13,21,18,17,13,18,22,18,21,20,18
広島県,13,13,20,17,20,16,17,21,18,21,20,17
山口県,14,14,19,16,19,15,17,22,18,22,20,18
徳島県,13,12,19,17,20,14,16,24,17,20,21,19
香川県,13,13,20,18,18,15,18,24,17,19,20,17
愛媛県,14,13,20,18,19,15,18,22,17,20,22,16
高知県,13,13,20,17,20,14,20,26,17,18,20,16
福岡県,16,15,18,17,18,16,18,20,17,19,19,19
佐賀県,18,15,20,19,19,14,14,21,16,19,19,19
長崎県,14,14,19,17,20,14,18,23,16,20,19,18
熊本県,15,15,20,17,18,14,17,22,17,20,20,18
大分県,17,16,21,17,17,16,18,20,16,18,20,18
宮崎県,15,18,21,16,21,14,16,18,17,19,19,19
鹿児島県,14,15,19,16,19,14,19,22,18,20,20,18
沖縄県,14,14,17,16,16,16,22,23,19,20,18,17
