,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
日数,31,28,31,30,31,30,31,31,30,31,30,31
北海道,10,9,9,7,10,11,14,15,13,12,9,12
青森県,8,7,9,11,11,11,12,15,12,14,11,9
岩手県,9,8,10,10,11,11,11,15,11,14,11,10
宮城県,9,9,11,9,11,11,11,14,11,12,12,10
秋田県,8,7,8,9,12,12,12,16,13,14,11,9
山形県,10,10,10,9,11,11,11,15,11,13,11,9
福島県,9,9,10,10,10,10,12,15,11,13,11,10
茨城県,9,8,11,11,11,10,12,14,10,11,11,11
栃木県,8,8,10,10,12,10,12,16,11,11,13,11
群馬県,10,9,11,9,11,9,12,16,11,12,11,11
埼玉県,10,9,12,11,11,10,11,12,10,12,11,12
千葉県,10,9,12,10,11,10,12,14,10,11,11,12
東京都,10,9,12,11,11,11,11,11,10,12,11,12
神奈川県,11,8,13,10,12,11,10,12,10,11,11,12
新潟県,11,10,12,10,10,9,12,16,11,12,10,9
富山県,7,8,11,13,12,9,10,14,12,14,11,9
石川県,9,9,13,12,11,9,10,13,10,12,13,10
福井県,7,7,11,11,11,9,12,17,10,12,13,11
山梨県,7,6,10,10,11,9,15,20,11,12,11,10
長野県,11,11,10,8,10,8,12,18,11,12,10,10
岐阜県,9,8,11,10,11,9,12,16,11,13,10,11
静岡県,10,9,12,10,10,8,12,15,10,11,11,11
愛知県,9,9,11,11,11,10,12,14,10,11,11,12
三重県,9,9,11,11,11,9,12,14,10,11,11,12
滋賀県,8,8,12,11,12,9,11,15,10,12,12,11
京都府,8,7,12,12,13,10,11,11,10,13,12,12
大阪府,10,9,11,11,11,11,12,12,10,12,12,12
兵庫県,9,8,13,10,11,9,11,14,11,12,12,12
奈良県,7,7,11,11,14,9,11,13,10,14,14,11
和歌山県,8,8,12,10,12,9,12,14,10,12,13,10
鳥取県,7,7,11,10,12,9,11,15,11,13,13,11
島根県,8,8,12,11,13,10,11,14,11,12,12,9
岡山県,8,8,13,11,11,8,11,13,11,13,12,11
広島県,8,8,12,11,12,10,11,13,11,13,12,10
山口県,8,8,12,10,12,9,11,14,11,13,13,11
徳島県,8,7,12,11,12,8,10,15,11,13,13,12
香川県,8,8,12,11,11,9,11,15,11,12,12,10
愛媛県,9,8,12,11,11,9,11,13,10,13,13,10
高知県,8,8,12,10,12,9,13,16,11,11,12,10
福岡県,10,9,11,10,11,10,11,13,10,12,12,12
佐賀県,11,9,12,12,12,9,9,13,10,12,12,12
長崎県,9,9,12,10,12,9,11,14,10,13,12,11
熊本県,9,9,12,10,11,9,10,13,10,13,12,11
大分県,10,10,13,10,11,10,11,13,10,11,12,11
宮崎県,9,11,13,10,13,8,10,11,10,12,12,12
鹿児島県,9,9,12,10,11,9,12,14,11,12,12,11
沖縄県,9,9,11,10,10,10,13,14,12,13,11,10
